aaa	工	工艺	葡萄牙	工期	工区	工匠	恭恭敬敬	劳苦功高	花花世界
tgs	行	秣	重要	生机	处理机	管理机构	行政机关	行李	管理机制
tgt	＾	＿	｀	ˊ	ˋ	˙	–	―	‥
tgu	秤	生产	重新	第一次	系列产品	生意	管理部门	重奖	生前
tgv	秉	重建	牛奶	和平建议	徢	牼	箑	㔟	
tgw	生命	每一个	管理人员	管理体制	第一位	重任	行使	第一代	生化
tgx	重组	第一线	和平统一	管理经验	管理费	处理结果	管理费用	和平统一祖国	生疑
tgy	行为	征文	生育	生效	管理方式	管理方法	征订	微型计算机	生计
tha	算	重点工程	重点项目	自营	延期	牌匾	重点工作	版式	处世
thb	牌子	鼻子	自卫	片子	算出	竹子	鼻孔	算了	郋
thc	彼	怎能	特此通知	秛					
thd	自	臭	篡	徘	纂	处在	自愿	版面	片面
the	自办	延边	自用	自力	自爱	衢县			
thf	怎	䇛	乍	迮	自动	处境	稳步增长	算起	牌坊
thg	片	䄳	版	牌	牍	牒	牖	处理	处于
thh	徙	衢	彼此	笑眯眯	徏	忂	籰		
thi	处	算法	自觉	自治	自学	自流	自满	竹溪	篎
thj	昝	算是	牌照	自曝	䈇				
thk	咎	牌号	臭味	秥	笘	㰶			
thl	鼻	劓	鼾	齄	鼽	处罚	处置	版图	自转
thm	自由	彼岸	算帐	竹山	䈛				
thn	息	自己	延迟	自发	处以	稳步发展	篡改	自居	长此以往
tho	片断	延庆	自燃	算数					
thp	延	延安	自定	自家	彼此之间	重点突出	鼻祖	重点实施	处之
thq	自然	自销	自负	辞旧迎新	䅐				
thr	臭氧	自制	自杀	自控	自卑	稳步提高	自找	臭气	处所
ths	臬	版本	怎样	版权	竹林	刮目相看	算术	和睦相处	自述
tht	竹	自身	怎么	自我	自行	延长	处处	徘徊	处长
thu	自立	自尊	重点问题	自问	自首	自新	稳步前进	处决	重点单位
thv	自如	重点建设	重点建设项目	处女					
thw	犋	延伸	自从	自信	处分	重点企业	片段	算命	重点保护
thx	延续	自强	自费	自给	处级	延缓	自幼	自编	竹编
thy	自主	自豪	处方	延误	片刻	重点课题	片剂	衢州	先睹为快
tia	自治区	毛泽东	毛泽东思想	科学工作者	生活区	复活节	科学著作	篊	
tib	科学院	臭小子	笵	筂					
tic	微波通讯	短波通信	箈						
tid	科学研究	稍有	长江三峡	科学态度	长江大桥	长江三角洲	自学成才	稍大	稍不
tie	稍	筲	自治县	生活用品	生活服务	箾	䈌		
tif	自觉地	科学地	科学考察	策源地	生活境遇				
tig	簿	衍	愆	生活环境	科学理论	科学事业	冬小麦	血浓于水	䈬
tih	生活上	重温旧梦	箥						
tii	生活水平	长江流域	各党派	选举法	血淋淋的				
tij	每小时	篞	簜	䈋					
tik	特派员	长江口	靠水吃水						
til	科学界	生活困难	科学思想						
tim	徜	科学内涵							
tin	科学性	自觉性	科学发展	生活习惯	生活必需品				
tio	科学精神	微波炉	惩治腐败	短小精悍					
tip	科学家	科学实验	科学社会主义	簹	䉎				
tiq	秒钟	长治久安	知法犯法	利润留成					
tir	箔	科学技术	科学技术是第一生产力	生活质量	科学技术委员会	稍后	生活气息	科学技术部	科学技术奖
tis	选举权	航海模型	很清楚						
tit	秒	香港特别行政区	科学管理	科学知识	生活条件	香港特区	科学种田	稍微	香港特区政府
tiu	尓	科学普及	生活资料	稍差					
tiv	稍好	血流如注	筜	簗	䈃				
tiw	稍候	科学化	科学依据	科学仪器	科学分析	稍作	乱涨价	稍低	生活会
tix	生活费	选举结果	生活费用	科学幻想	生活经验				
tiy	生活方式	长沙市	自治州	各省市	科学文化素质	科学文化	利润率	科学方法	入学率
tja	复苏	身临其境	长时期	每星期	利落	香花	长时期以来	笑里藏刀	犦
tjb	得出	得了	微电子	微电子技术	复出	篮子	复函	忁	穝
tjc	千里马								
tjd	复原	乍暖还寒	物归原主	馛	馣	䫝	䭰	䭲	
tje	利用	得力	微电脑	得胜	馟				
tjf	香	微量元素	适时地	利索	毛里塔尼亚	得志	筸	馞	馩
tjg	得	筛	笪	得到	利于	篮球	律师事务所	毛里求斯	得救
tjh	利	馡							
tji	香港	利润	复兴	得当	复活	香河	得法		
tjj	复归	馤	馧	䅛	䖽				
tjk	香味	得逞	复员						
tjl	得罪	利国	梨园	䅼	䵩				
tjm	香山								
tjn	得以	复发	利民	复习	利己	生日快乐	悡	馜	馝
tjo	香烟	透明度	香料	香火	稀里糊涂				
tjp	复审	复赛	各显神通	利害	复写	千里之行始于足下	千里之堤溃于蚁穴	馪	
tjq	复印	得名	鋫	㹇	䅥	䈓	䱘		
tjr	复制	得失	得手	香气	简明扼要	我明白了			
tjs	梨	稞	复查	得票	梨树	复核	䊬		
tjt	复	犁	篮	馥	利税	得知	筛选	利息	得利
tju	䖝	利益	得益	短时间内	得意	利弊	得奖	得病	长时间内
tjv	复杂	千里迢迢	利好						
tjw	复合	得分	复位	得体	复信	选贤任能	馚	馠	㴝
tjx	复线	箟	䄿	䅙	䇩				
tjy	利率	复议	得主	复交	利诱	复评	等量齐观		
tka	各项	积蓄	各式	程式	种花	和蔼			
tkb	种子	各队	积聚	先遣队	箿	㣬			
tkc	䇼								
tkd	各有	积压	各厂	和龙	积存	和硕	稳中有降	矢口否认	頟
tke	各县	和县	特别助理	䅌	䇷				
tkf	各	㕿	各地	和声	种地	积雪	长足进展	禹城	知足者常乐
tkg	和	程	和平	和政	和静	特别严重	徎	筽	䇸
tkh	种	㸪	篑	和睦	簬	䅪			
tki	各省	特别注意	和尚	积水	特别法庭	知足常乐	自鸣清高	洜	
tkj	特别是	和煦	㓢						
tkk	稆	和顺	乐呵呵	笑嘻嘻	筥	䆆	䉷		
tkl	各国	积累	各界	种田	和田				
tkm	禹	筼	篔	鄅	㙑				
tkn	各异	和局	各局	惒	㤩	䎊			
tko	程序	各类	程度	种类	各业				
tkp	积案	复员军人	管中窥豹	告别宴会					
tkq	和解	各色	积怨	兎					
tkr	程控	和气	积攒	各所	特别指出的是	笨嘴拙舌	㪾		
tks	积极	种植	积木	各校	特别要注意	重蹈覆辙	和棋	各样	臭味相投
tkt	各种	各自	种种	委员长	各科	特别行政区	各处	各行	入口处
tku	各部	和亲	特别奖	和善	特别关注	各次	称兄道弟	悉听尊便	
tkv	和好	种群							
tkw	积	雒	委员会	各个	各位	积分	和会	特别会议	各人
tkx	各级	特别强调	各乡	和约	各组	和缓			
tky	各方	和谈	和谐	各族	种族	和议	长距离	短距离	禹州
tla	粤东	自圆其说	积累基金	穓	簂				
tlb	积累了	血防	衈	䘏					
tlc	犤	笝	䆉	䘒					
tld	血	甶	篾	备有	血压	备耕	秵	稒	筃
tle	备用	血腥	稩						
tlf	备	盉	笽	睾	乱罚款	䆀	䆁		
tlg	牭	箅	我国政府	血型	我国政府部门	簚	䡓		
tlh	备战								
tli	血液	血汗	备注	血泪	血泊	衆			
tlj	笚								
tlk	徊	备足	备品						
tll	我国国情	䉪							
tlm	血肉	簤							
tln	惫	衄	血性	策略性	粤剧				
tlo	粤	备料							
tlp	我国社会主义	备案	䉚	䘔					
tlq	箩	囱	血色	悤	欰	簐	䇱	䘓	
tlr	囟	我国的	先斩后奏	恖	衇	顖	㔡	䪿	
tls	血本	管辖权	备查	稇					
tlt	血管	第四季度	利国利民	我国各族人民	稛	箘	簵	衉	
tlu	衅	积累资金	积累总额						
tlv	各界群众	备好	籔	衂	邍	䅹	䘐		
tlw	稷	备份	微软公司	各界人士	我国人民	备件	各国人民	各国代表	得罪人
tlx	我国经济	血缘	血统	㹎	䉂				
tly	特困户	备课	血迹	粤语	䘑				
tma	向东	身世	秧苗	微薄	自由式	躲藏	自由散漫	穠	筁
tmb	身子	向阳	射阳	血肉联系	筒子	自由职业			
tmc	微观								
tmd	身	射	躺	躲	秧	躯	躬	向左	向右
tme	身边	行贿受贿	身受	䅢	䉰				
tmf	笛	稠	奥运	向南	翻山越岭	躯干	身教	自由支配	微博
tmg	微	牰	秞	㣙	筒	徽	徵	微型	向下
tmh	币	身上	向上						
tmi	微波	微小	牡丹江	自由泳	自由港	射洪			
tmj	屲	㟀	身影	射电	微量	䈟			
tmk	向	靠山吃山	逈	䚁					
tml	微软	秧田	行贿罪						
tmm	向内	微山	微幅	笧	䈀				
tmn	身心	向导	躲避	毛骨悚然	簻	䈑			
tmo	奥	微粒	嶴	䴈					
tmp	身穿	稠密	血肉之躯	生财之道	先见之明				
tmq	秽	笕	向外	自由贸易区	自由贸易	身败名裂			
tmr	身后	向后	身手	射手					
tms	微机	向西	身材	秧歌	血肉相连	身村			
tmt	微笑	奥秘	向往	身躯	自由选择	射程	自由自在	射向	身长
tmu	筫	向前	向北	自由竞争	徽章	犅			
tmv	奥妙	微妙							
tmw	身体	身份	自由化	身价	躯体	币值	微风	自由体操	笍
tmx	射线	微弱							
tmy	㸽	身高	身旁	身亡	微调	自由市场	徽州	自由主义	自由恋爱
tna	各司其职	物尽其用	特异功能	愁眉苦脸	各尽其能				
tnb	乞	乐队	筷子	乐陵					
tnc	乐观								
tnd	愁眉不展	黎民百姓	篡改历史	知情不报	自愧不如	知情不举	䅕	䈐	
tne	向心力	知心朋友							
tnf	乐趣	特快专递	行尸走肉						
tng	笥	乐于	税收政策	乐平	乞丐	乞求	乐事	自惭形秽	箼
tnh	徦	犌	稰	篃	㸨	䈔	䈝	䉃	䙻
tni	乐	自民党	乐清	务必注意	徲	穉	㣯	䆈	
tnj	刉								
tnk	乐器	徫	稦	衞	讆	讏	躗	躛	㦣
tnl	乐团	乐园							
tnm	乐曲	乐山							
tnn	筷	䄫	秘书	自发性	笢	簨			
tno	得心应手	乐业	物以类聚						
tnp	迄	秘密	乐安						
tnq	秘鲁								
tnr	自己的	税收制度	先发制人	各尽所能	自发势力				
tns	身居要职	徇情枉法							
tnt	秘	秘书长	秘书处	乐得	知己知彼	处心积虑	物以稀为贵	入情入理	秘笈
tnu	乐意	乐章	复习资料	稺	箳				
tnv	称心如意								
tnw	迄今	身心健康	自己人	知情人	身心伤害	穋	籊		
tnx	乱收费	身怀绝技	秜						
tny	各民族	各民主党派	我以为	秘诀	秘方	各民主党派中央	自以为	乐亭	乞讨
toa	穬	䉀							
tob	䎹	䣋							
toc	释	适应能力							
tod	程度不同	行业不正之风	行业垄断						
toe	翻腾	延庆县							
tof	秩序井然	秋雨	翻越	翻动	生米煮成熟饭				
tog	秋天	翻开	待业青年	甃	穙	㣸	㹒		
toi	釆	循序渐进	翻滚	彻底清除	彻底清算	湬			
toj	番禺	稥	蝵						
tok	程序员								
tol	翻	番	鄱	翻转	翻车	勫	飜	鷭	㽃
tom	釉	㡑							
ton	愁	悉	簏	簖	适应性	悉尼	彻底改变	悉心	秋收
too	秋粮	彻底粉碎	簩	㹙	㹚				
top	翻案								
toq	彻底解决	秋色	鍫	鹙					
tor	翻看	秋后	秋播	揫					
tos	醔								
tot	秋季	翻番	物业管理	翻身	秋冬	翻版	行业自律	翻船	物业税
tou	夈	翻阅	翻新	秋装	䆂				
tov	篓	媝	穅	篖	䅯	䉤			
tow	秋风	翻修	待业保险	翻供	鶖	㣹	䉬	䧽	䨂
tox	释疑	彻底结束	䵸						
toy	秋	翻译	释放	程序设计	释义				
tpa	知之甚少	知之甚多	簺						
tpb	管子	牸							
tpd	行之有效	重视不够	处之泰然	犗					
tpe	管用	秾							
tpf	稳定增长	先富起来	航空运输	管教	特定场合	徖	筦	簆	
tpg	稼	管理	千家万户	适宜于	千军万马	管事	航空事业	管束	穦
tph	管	稳定上升							
tpi	航空港	航空学院	秘密活动						
tpj	很容易	䈿							
tpk	乏味	垂帘听政							
tpl	管辖	私家车	㹆						
tpn	稳定性	稳定局势	升官发财	稳定情绪	㣷	䈼			
tpo	延安精神								
tpp	管家								
tpq	箢								
tpr	管制	航空兵	管护	各军兵种	航空摄影				
tps	管材	笑容可掬	筞	䇡					
tpt	长安街	稽察特派员	各家各户	管乐	稳定物价	特定条件	航空航天工业部	秺	
tpu	乏	管道	利害关系	利害冲突	长官意志	䉱			
tpv	管好								
tpw	箜	航空公司	签字仪式	向社会开放	秘密会议	秘密会晤	穃	篧	鴔
tpx	管线	航空母舰	秘密组织	㸰					
tpy	称之为	簶							
tqa	自然世界	彽	秖	秪	籛				
tqb	衡阳	自负盈亏	称职	先锋队	犓	篘	䅳		
tqc	适销对路								
tqd	衡	奥尔布赖特	自然而然	称雄	千锤百炼				
tqe	物力	稳妥	自然力	觕	䇟	䇶	䈥	䈸	䉉
tqf	移动	移栽	敏锐地	自然规律	称霸	衡南	自然增长率	自然地理	自留地
tqg	衔	物理	自然环境	自然现象	黎平	千钧一发	移开	穞	
tqh	稳步								
tqi	称	物流	衡水	称誉	稳当	科尔沁左翼后旗	科尔沁右翼中旗	科尔沁左翼中旗	千金小姐
tqj	徇	衡量	臭名昭著	穐	箰				
tqk	笱	称号	物品	称呼	衡器	科贸中心	㣘	䅋	䅓
tql	自然界	稳固							
tqm	衡山								
tqn	移民	重金属	移居	称心	翻然悔悟	笣			
tqo	知名度	物料	物业	穭	䉳				
tqp	稳定	自然灾害	身外之物						
tqq	移	物色	特色鲜明	行色匆匆	自然免疫				
tqr	物	笏	物质	衔接	惣	㹅	䈡		
tqs	移植	复印机	先锋模范	自然村					
tqt	黎	黧	自然科学	称赞	自然科学基金	物种	自然条件	称重	稳重
tqu	物资	自然资源	称道	移送	物产	自然美	利多弊少	笉	
tqv	稳	筝	籙						
tqw	物价	物体	称作	自然保护区	稳住	知名人士	稳健	自然保护	自然风光
tqx	自然经济	䆋							
tqy	称为	移交	称谓	物证	黎族	物主	生儿育女	彴	䄪
tra	箍	箝	科技工作	科技工作者	科技攻关	科技项目	物质基础	科技工业园	科技攻关计划
trb	科技队伍	我院	稯	㣭	䈦				
trc	箨	筢	我能	笟					
trd	稀	科技成果	我厂	科技大学	稀有	稀奇	科技大厦	生搬硬套	税后还贷
tre	科技服务	科技力量	物质力量	稳操胜券	我爱				
trf	循	科技进步	稀土	科技进步奖	逢年过节	生气勃勃	长势喜人	科技博览会	特邀嘉宾
trg	徨	䄸	篁	循环	科技开发	科技事业	科技型	各执一词	物质刺激
trh	御	㸫	笊	篪	科技战线	衘			
tri	穆	科技兴农	科技活动	我党	稀少	乱摊派	科技兴国	短斤少两	科技兴邦
trj	科技日报	程控电话	千年虫	牛鬼蛇神					
trk	筘	复制品	箉	䉗					
trl	我国	科技界	科技园	科技图书	科技园区	长年累月	自投罗网	㣳	䉑
trm	长白山	物质财富	科技周	乱扣帽子	䘖				
trn	臭氧层	科技情报	选择性	科技发明	稀疏	各抒己见	我局	科技改革	各持己见
tro	秩序								
trp	我军	选拔赛	御寒	稀罕	重返家园	季后赛	徒手空拳		
trq	篼	籀	科技馆	科技金融	科技孵化器	稀饭	䈭		
trr	科技投入	我所	科技扶贫	科技推广	科技热	我的	特技摄影	笅	篺
trs	我想	我校	选择权	程控机	短兵相接				
trt	稗	科技管理	科技知识	物质条件	物质生活	物质生产	物质利益	稳扎稳打	我等
tru	科技部	科技奖	科技咨询	科技新闻	科技资源	我部	科技资料	延年益寿	物质奖励
trw	秩	我们	科技人员	科技体制	科技人才	科技信息	科技合作	科技含量	科技领域
trx	我	鹅	鵞	䖸					
try	徼	程控交换机	物质文明	科技交流	物质文明建设	我方	科技市场	物质文化生活	血气方刚
tsa	奥林匹克	重要贡献	重要工作	积极贡献	重要基地	奥林匹克运动会	重要项目	积极工作	重要著作
tsb	箱子	条子	重要职责						
tsc	积极参与	很可能	积极参加	自相矛盾	重要通道				
tsd	重要原因	积极态度	入木三分	适可而止	待机而动	䉦			
tse	重要力量								
tsf	䇴	＾	＿	｀	ˊ	ˋ	˙	–	―
tsg	牺	徆	䄽	笨	积极开展	重要一环	条理	自相残杀	重要表现
tsh	箱	㣔	条目	重要战略	积极肯干				
tsi	重要渠道	䈾							
tsj	簟	重要影响	积极影响	䉓					
tsk	牱	笴							
tsl	重要因素	积极因素	重要思想	种植园					
tsm	重要内容	条幅							
tsn	积极性	重要性	物极必反						
tso	种植业								
tsp	积极宣传	䉘							
tsq	盘根错节	籕							
tsr	重要的	积极的	积极推进	积极探索	重要措施	移植手术	积极推行	重要的原因	重要批示
tss	篥	重要标志	和林格尔	箖	㣩				
tst	牺牲	重要条件	积极稳妥地	积极行动	笨重	积极稳妥	乐极生悲	知根知底	䈷
tsu	条	重要意义	重要问题	积极意义					
tsw	条件	条例	重要作用	积极作用	我相信	重要任务	重要途径	重要保证	重要依据
tsx	条约	重要组成部分	重要经验	条纹					
tsy	秫	重要讲话	条文	积极主动	重要方面	重要文件	重要文献	重要方针	重要说明
tta	生物工程	牧区	筹备工作	牧草	生长期	微乎其微	船舶工业	适得其反	各得其所
ttb	生物防治	牛鼻子	自我陶醉	算得了	行行出状元	㸱	䅎		
ttc	行得通	积重难返	往往能够	敌我矛盾	重重难关	自身矛盾			
ttd	笑	篷	造船厂	笔耕	自告奋勇	各种不同类型	长生不老	千秋大业	长篇大论
tte	怎么办	笑脸	微笑服务	䈲					
ttf	笔	牦	筅	牿	笔者	牧场	笑声	先行者	身先士卒
ttg	牲		笙	攵	微处理器	各种形式	千千万万	微循环	笔下
tth	筵	笮	称得上	各条战线	秨	簁	簰	㸲	
tti	生物学	长篇小说	各种渠道	各种活动	短篇小说	笔法	简繁汉字		
ttj	稪	往往是	秭归	牧师	筣	䅨			
ttk	乘务员	笔顺	牺牲品	牲口	笿	䅂			
ttl	篦	丿	自行车	笔墨	重重困难	生物圈	怎么回事	各种因素	篷车
ttm	䉛	䉠							
ttn	秭	夂	笫	牧民	自我发展	生长发育	税务局	各种情况	自我改造
tto	各行业	各种类型	牧业	每季度	造船业	篍	㣰	䉒	
ttp	笑容	自我完善	自我实现	自知之明	先行官	乔迁之喜	自行安排	甜甜蜜蜜	
ttq	笔触	笔名	簃	䉫					
ttr	生物技术	短短的	繁重的	生物制品	自我批评	徇私舞弊	简短的	税务所	复种指数
tts	怎么样	息息相关	徇私枉法	条条框框	息息相通	筿			
ttt	禾	彳	微生物	各行各业	各种各样	自身利益	我行我素	自生自灭	冬季奥运会
ttu	自筹资金	特等奖	等待着	生物资源	牧羊	特种部队	循循善诱	简简单单	我知道了
ttv	重复建设	自身建设	笔录	箻	㣦	䅗			
ttw	筹委会	管委会	生物化学	奥委会	冬奥会	生物体	先生们	税务登记	德智体
ttx	龝								
tty	牧	秝	牲畜	自行设计	笔记	各种方式	各自为政	笔试	笔迹
tua	生产基地	生产工艺	生产工具	生产劳动	街头巷尾	乘警	简单劳动	䈂	
tub	简陋	生产队							
tuc	生产能力	重头戏							
tud	科研	生产厂家	生产成本	科大	简历	千姿百态	简码	生前友好	犈
tue	箭	生产力	街道办事处	筋疲力尽	徿	穟	䆍	䉨	
tuf	笠	科	乎	科教	科协	生产过程	简直	生产规模	生产者
tug	徉	剩下	冬天	千差万别	千辛万苦	千头万绪	冬麦	生产责任制	犠
tuh	科目	生产上	税目	生产战线	従				
tui	科学	简洁	生产水平	科普活动	乘法	生意兴隆	生产潜力	科举	物资流通
tuj	简	螽	等问题	简易	简明	生产量	徸	犝	穜
tuk	税	简史	科员	犃	稖	箁	篰		
tul	箪	乘车	生产国	简略	利益团体	䉕			
tum	徶								
tun	税收	向前发展	生产性	自尊心	重新恢复	和颜悦色	生产性建设	乥	㐑
tuo	身兼数职								
tup	乘客	科室	税额	等闲视之	简写	生产定额			
tuq	税金	得道多助	简单多数	科贸	䅆	䆅	䈮		
tur	乊	科技	生产技术	税制	简报	向前推进	简捷	向前看	生产指标
tus	简要	乘机	简朴	简述	税票				
tut	科委	税务	简称	冬季	生产管理	科长	税利	各部委	生产条件
tuu	冬	简单	简况	科普	各部门	生产总值	生产资料	生产关系	生产单位
tuv	生产建设	乐善好施	稴	䈉	䈴				
tuw	简化	简便	各单位	乘坐	简介	剩余	生产领域	简体	生产任务
tux	乘	剩	生产线	生产经营	科级	简练	生意经	惩前毖后	税费
tuy	简讯	税率	生产方式	生产率	生产计划	重新认识	科普读物	冬训	稳产高产
tva	很苦	复杂劳动							
tvc	很难	穊	笯	蠞					
tvd	很大	稳如泰山	衟	㣨	䫋				
tve	很	簋	很受						
tvf	委	很坏							
tvg	律	犍	自始至终	徤	瓾				
tvh	覣								
tvi	箫	很少	很小	委派	很沉	生灵涂炭	箓		
tvj	律师	很早	很晚	自即日起					
tvk	笤	委员	筎						
tvl	很轻	犣	䅔	䉭					
tvn	很快	复杂性	委屈	很慢	委以	复杂局面	䉋		
tvo	簘								
tvp	逶	重建家园	委实	很穷	很富	箒			
tvq	很多	很久	复杂多变						
tvr	魏	复杂的	委托	很热	微妙的	很近	很好看	犩	䭳
tvt	笋	很重	很长	很短	逶迤	䇹			
tvu	很冷	怎好意思							
tvv	很好	委婉							
tvw	很低	复杂化	委任	处女作					
tvx	很强	很弱							
tvy	很高	征婚启事	牣	秇	笂	㸾			
twa	筏	剩余劳动力	剩余劳力	自食其力	自食其果	自食其言	笩		
twb	秃	行使职权	租赁承包	稳住阵脚	自作聪明				
twc	役	我们欢迎	答对	垼	彸	㣞	䇗	䈗	䈵
twd	颓	我们有	乘风破浪	身价百倍	生命在于运动	自命不凡	待价而沽	乘人不备	秉公而断
twe	生命力	身体力行	复合肥料	秉公办事					
twf	符	各个地区	科伦坡	各个地方	千亿元	长途运输	短途运输	各个地区之间	稌
twg	徐	答	签	簦	筌	条件下	适合于	我代表	刮风下雨
twh	筱	物价上涨	㹋	䇚					
twi	黏	黍	我们党	我们党的	长途汽车	徐汇	徐水	简化汉字	黐
twj	长途电话	答题	移风易俗	积体电路	繁华景象				
twk	符号	长途跋涉	穨	筗	㣡				
twl	签署	我们国家							
twm	生命财产	长途贩运							
twn	篌	签发	自信心	物价局	得人心	各人民团体	向人民负责	物价改革	
two	我们应该	答应	各企业	颓废					
twp	答案	签字	签定	生命安全	千分之	繁体字	简体字	简化字	乘人之危
twq	签名	每分钟	稳坐钓鱼台						
twr	我们的	我们希望	稚气	物价指数	待人接物	先人后己	先公后私	秋风扫落叶	
tws	我们要	我们相信	复合材料	我们要求	物价检查				
twt	答复	生命科学	徐徐	符合条件	每人每天	每人每年	生命垂危	各位委员	利欲熏心
twu	秂	筹集资金	答卷	答辩	各个部门	私人资本	每个部门	各个单位	知人善任
twv	凢	処	秎	穒	鵆	㸮	䈜	䉆	
tww	符合	各个领域	每个人	身体健康	特命全权大使	私人企业	各位代表	第八个五年计划	身价倍增
twx	签约	生命线	租赁经营	和风细雨					
twy	稚	稔	签订	我们认为	迄今为止	各个方面	行使主权	徐州	身份证
txa	繁荣	第七	系统工程	每期	繁茂				
txb	每隔	入乡随俗							
txd	第三	敏感	造纸厂	自强不息	毛纺厂	繁盛			
txe	胤	每月	身强力壮	勄	㣧				
txf	第二	第十	各级干部	等级考试	各级地方政府	每场	毎	䈙	
txg	篆	第一	系列	每天	第五	各级政府	繁殖	利比亚	繁琐
txh	第	䇙							
txi	系	各级党委	每当	各级党组织	向纵深发展				
txj	每日	利比里亚	每晚	笰	䄶				
txk	片纸只字								
txl	第四	各级团组织							
txm	每周	䈫							
txn	牝	繁忙	系统性						
txo	系数								
txp	每家								
txq	繁多	敏锐	自费留学	释疑解惑	箹				
txr	系统的	每年	敏捷	等级制	等级制度	系统的总结	每斤		
txs	等级森严								
txt	繁	敏	鳘	後	系统管理	每逢	繁衍	每条	繁重
txu	每	每次	系统总结	短线产品	系统总结了	篛			
txv	第九	繁杂	稍纵即逝						
txw	每个	系统集成	第八	各级领导	每人	各级领导干部	繁华	各级人民政府	繁体
txx	筚	秕	系统	各级组织	特约经销	毛纺织厂	稭	穖	笓
txy	牳	毓	第六	繁育	每户	篆刻	系统论述了		
tya	入世	特效药	往昔	往东	街谈巷议	自讨苦吃	造谣惑众	簱	㒰
tyb	签订了	自谋职业	稿子	种族隔离	入耳	自谋出路	㒴		
tyc	种族骚乱	勶							
tyd	各方面	千方百计	知识面	自豪感	各方面工作	入夏	行为不端	往左	
tye	入股								
tyf	䇾	入境	行为规范	签订协议	答记者问	入场	入土	往南	秋毫无犯
tyg	往	往来	往事	往下	千变万化	知识更新	长方形	知识青年	短训班
tyh	往上	入睡	种族歧视	篇目	笇				
tyi	入	汆	入学	入党	很高兴	往常	知识水平	重放光彩	自讨没趣
tyj	往日	往里	入时	㒲	䅫				
tyk	稿	篙	犒	穰	入口	造谣中伤	忀	犉	犜
tyl	知识界	往回	㣶	䆄	䉡				
tym	篇幅	入内	入帐	屳	肏	㠳			
tyn	篇	犏	知识性	自主性	兦	徧	牤	稨	笀
tyo	籴	入库	入迷	䨀					
typ	知识密集	简言之	翻译家	甜言蜜语	答谢宴会	和谐社会	込		
tyq	往外	入狱	㒱						
tyr	篱	入手	往年	往返	簇拥	往后	入托	秋高气爽	䅻
tys	笔记本	笔记本电脑	自主权	稿酬	往西				
tyt	彷	牥	䄱	簇	往往	入选	知识管理	自主知识产权	往复
tyu	知识产权	知识产权保护	入门	篇章	知识竞赛	往前	往北	知识资本	穧
tyv	稂	备忘录	各族群众	筤					
tyw	知识分子	各族人民	入侵	稿件	签订合同	入伍	知识创新	入会	知识化
tyx	知识经济	自主经营	知识结构	稿费	稿纸	特许经营	牛郎织女	等高线	繁文缛节
tyy	入市	德高望重	种族主义	入夜	知识就是力量	利率调整	入户		
uaa	新工艺	辛勤劳动	闭幕式	辛勤工作	闭幕式上				
uab	总医院	并联	瓶子	郱					
uac	并能	瓶颈							
uad	疘	并不	并有	并存	亲切友好	奠基石	凘	瘎	瘔
uae	并且	并用	立功受奖	立功受奖者	㔙				
uaf	疳	并未	并进	并无	亲切地	新贡献	冻土	立功喜报	盖世无双
uag	瓶	冮	疟	并于	并列	并到	冻死	判若两人	立功表现
uah	并非	冴	疨	閕					
uai	冻	并举							
uaj	并	竎	瘼	瘄	䇎				
uak	阈	瘽							
ual	并转	新世界	奖勤罚懒						
uam	癀	奠基典礼	立功赎罪	将功赎罪	䦫				
uan	并以	并发	亲切慰问	迸发	前功尽弃	疶	㤣		
uao	总营业额								
uap	迸	痨	冻害						
uaq	艵	㿃	㿊						
uar	并提	并按	并报	尊敬的	亲切的问候	并排	亲切握手	将功折罪	
uas	并要	新花样	㭍						
uat	并行	总工程师	并重	并入	㿄				
uau	亲切问候	并立	亲切关怀	瓶装	单项奖	冻疮	半工半读	冷若冰霜	
uav	剏	剙							
uaw	瘩	总工会	奠基人	亲切会见	奠基仪式	冻伤	閧	闀	鵧
uax	新世纪	冻结							
uay	䇅	并请	亲切交谈	并肩					
uba	普及工作								
ubd	闻	普降大雨							
ube	疓	凝聚力	塑胶						
ubf	逆境	普及教育	兼职教师	闻声	普降喜雨	亲职教育			
ubg	普及型	普降瑞雪							
ubh	竞聘上岗	问及此事							
ubi	疗法	逆流							
ubj	兯								
ubk	疗	疖							
ubl	逆转								
ubm	㽾								
ubn	塑性								
ubo	塑料								
ubp	美联社	立陶宛							
ubq	瘾	闻名	决出名次						
ubs	痾								
ubt	塑	逆	朔	癃	槊	塑造	疗程	逆向	闻知
ubu	凝聚着	逆差	疗养						
ubv	部队建设								
ubw	新阶段	新陈代谢	塑像	美联储	癊	㾻			
uby	疗效	普及率	闻讯	产出率	朔州	㽺			
uca	痉	痛苦	竣工	闯荡	普通劳动者	慿	閞		
ucb	新台阶								
ucc	瘮	䦤							
ucd	普通百姓	美观大方	痛感	瘆					
uce	痛								
ucf	并通过	闯进	普通老百姓	普通教育	䇈				
ucg	冯	闯							
uci	新能源								
uck	冶	痛哭	㾂						
ucn	痛心	痛快	痛惜	痛恨					
uco	冶炼	凴	㵗	㾺					
ucq	痛饮	冶金							
ucr	痛失	痛斥							
ucs	痛楚								
uct	新台币	闯入	总预算	竢					
ucu	瘫痪	疤痕	闯关						
ucv	疤								
ucw	瘫	竣	普通人	新观念					
